NpcTypeId,Name
4,Alia
4,Laure
4,Kathirl
4,Maya
4,Andy
4,Anna
4,Tatriso
4,Wenn
4,Anne
4,Deirean
4,Vivia
4,Mara
4,Tathero
4,Shia
4,Kathle
4,Debetha
4,Sonie
4,Julisti
4,Claurin
4,Julie
4,Laurela
4,Gina
4,Joanna
4,Angela
4,Heathia
4,Sylvia
4,Nana
4,Patina
4,Vivia
4,Vivia
4,Eleksa
4,Line
4,Caron
4,Jana
4,Angelle
4,Susa
4,Shirlot
4,Angelan
4,Caren
4,Leah
4,Dia
4,Nania
4,Eily
4,Angelai
4,Terrie
4,Diana
4,Courtha
4,Alie
4,Karie
4,Danne
4,Joyce
4,Laurico
4,Vivia
4,Nance
4,Katin
4,Wen
4,Eleenda
4,Marace
4,Chriet
4,Monicol
4,Tarany
4,Karol
4,Carin
4,Ally
4,Pata
4,Vivia
4,Tra
4,Baristi
4,Joyce
4,Aim
4,Kimbecc
4,Terin
4,Lauren
4,Laurele
4,Claudia
4,Tamarri
4,Dendy
4,Nicky
4,Emilyn
4,Keri
4,Sustin
4,Laurtha
4,Mary
4,Valica
4,Heatal
4,Racherr
4,Maristi
4,Aimbett
4,Katriso
4,Cares
4,Giulina
4,Care
4,Christi
4,Lina
4,Stephar
4,Wenisan
4,Dan
4,Wennee
4,Cla
4,Suzane
4,Kele
4,Nine
4,Anna
4,Gine
4,Karicky
4,Betha
4,Suzaber
4,Danie
4,Dane
4,Sarica
4,Marooke
4,Kimbecc
4,Monie
4,Broleks
4,Doristi
4,Kathare
4,Shirdre
4,Melaure
4,Ale
4,Listine
4,Nandren
4,Erina
4,Amy
4,Pamee
4,Beah
4,Dany
4,Kare
4,Dia
4,Erina
4,Jana
4,Margaro
4,Fra
4,Nathero
4,Chry
4,Tiffane
4,Carrina
4,Saristi
4,Anne
4,Dorole
4,Nine
4,Dandra
4,Jen
4,Karanna
4,Listy
4,Vicoly
4,Karise
4,Cla
4,Pamelly
4,Amy
4,Ericia
4,Anne
4,Julia
4,Therlen
4,Line
4,Caronif
4,Vivia
4,Ste
4,Joania
4,Ashle
4,Cyn
4,Franna
4,Therler
4,Anna
4,Angelia
4,Tath
4,Dannee
4,Anne
4,Brolee
4,Beath
4,Deborol
4,Cassa
4,Joane
4,Candra
4,Cryssan
4,Rebetha
4,Moniche
4,Pamarin
4,Nine
4,Cla
4,Beth
4,Dana
4,Allen
4,Ashley
4,Kathani
4,Nathero
4,Claurth
4,Vivia
4,Sary
4,Tatrina
4,Melise
4,Vice
4,Anna
4,Clannee
4,Kerleks
4,Laudian
4,Chry
4,Kerice
4,Bet
4,Janda
4,Meley
4,Bara
4,Dia
4,Eri
4,Sance
4,Laura
4,Breniet
4,Jenne
4,Anna
4,Sonie
4,Jennie
4,Aim
4,Krissan
4,Cyn
4,Eristy
4,Mariett
4,Maya
4,Janne
4,Susana
4,Maronic
4,Julica
4,Mary
4,Nathrie
4,Christi
4,Kelina
4,Chana
4,Canna
4,Dane
4,Leah
4,Kimbecc
4,Tara
4,Diancy
4,Natheri
4,Laura
4,Heah
4,Dia
4,Eile
4,Kathero
4,Caronis
4,Eri
4,Sha
4,Caron
4,Lina
4,Renneen
4,Anne
4,Vica
4,Ann
4,Kerine
4,Cassa
4,Emileks
4,Katina
4,Kimberi
4,Tartnee
4,Stefann
4,Martne
4,Beath
4,Kimberr
4,Verry
4,Cry
4,Pamela
4,Eleen
4,Carina
4,Giulian
4,Chrissa
4,Ele
4,Anna
4,Justine
4,Sana
4,Charist
4,Elen
4,Aimel
4,Racy
4,Brothar
4,Chrissa
4,Melly
4,Anne
4,Sher
4,Heathel
4,Bet
4,Julizab
4,Leandre
4,Ericky
4,Cassa
4,Jen
4,Ann
4,Stephar
4,Elen
4,Jusa
4,Tamartn
4,Katherr
4,Clanna
4,Theron
4,Sara
4,Aley
4,Caryste
4,Gine
4,Kimelly
4,Vicky
4,Laura
4,Chareth
4,Katri
4,Adreter
4,Rodd
4,Edward
4,Roger
4,Bran
4,Briam
4,Art
4,Aart
4,Toby
4,Vichad
4,Thon
4,Laro
4,Rodd
4,Rob
4,Ruber
4,Waymond
4,Sterew
4,Aard
4,Chur
4,Bart
4,Anteve
4,Bruce
4,Jondam
4,Toby
4,Barry
4,Haronat
4,Scot
4,Thomaso
4,Fraig
4,Harremy
4,Chan
4,Ben
4,Sean
4,Ruben
4,Paun
4,Boby
4,Dart
4,Ster
4,Chan
4,Jon
4,Adamin
4,Alandri
4,Hun
4,And
4,Grey
4,Chriam
4,Jos
4,Jamie
4,Rick
4,Frek
4,Rayne
4,Natther
4,Walter
4,Wilian
4,Rosel
4,Brenny
4,Brad
4,Todd
4,Gor
4,Ric
4,Edwarry
4,Alay
4,Bremy
4,Hun
4,Andy
4,Victoph
4,Kevin
4,Jasony
4,Dan
4,Derremy
4,Dan
4,Dave
4,Jam
4,Wadlenj
4,Ster
4,Rick
4,Fremy
4,Rosephe
4,John
4,Brick
4,Phill
4,Davin
4,Scot
4,Rogan
4,Josephe
4,Mat
4,Stuan
4,Shan
4,Clan
4,Keve
4,Bill
4,Ran
4,Jeffrem
4,Juss
4,Clay
4,Jon
4,Jim
4,Wayne
4,Duark
4,Ricart
4,Ster
4,Wade
4,Evan
4,Brey
4,Joel
4,Ricarth
4,Ricark
4,Roby
4,Geordon
4,Loger
4,Waltevi
4,Stert
4,Alay
4,Vick
4,Roberet
4,Mart
4,Mart
4,Ryan
4,Ster
4,Ivan
4,Scot
4,Scotthu
4,Caro
4,Ran
4,Stevend
4,Russeph
4,Anteve
4,Denjan
4,Deandri
4,Art
4,Stert
4,Sharlen
4,Jay
4,Aardo
4,Richaro
4,Ken
4,Shaell
4,Rogan
4,Ster
4,Paul
4,Ryan
4,Steve
4,James
4,Rubenja
4,Walteph
4,Sterek
4,Pathuck
4,Frade
4,Bene
4,Dan
4,Adam
4,Jim
4,Will
4,Jeff
4,Jason
4,Keithan
4,Chuck
4,Rick
4,Fraig
4,Harloss
4,Crad
4,Peteven
4,Scot
4,Richard
4,Phill
4,Jack
4,Dondy
4,Cran
4,Sames
4,Clay
4,Barryan
4,Steve
4,Natris
4,Rogan
4,Aley
4,Josseph
4,Jim
4,Wiliame
4,Tom
4,Allian
4,Chricto
4,Aley
4,Barren
4,Steph
4,Josseph
4,Brew
4,Mike
4,Jeff
4,Joe
4,Edwarle
4,Chricha
4,Anth
4,Juss
4,Rober
4,Ivan
4,Deand
4,Thon
4,Fraig
4,Harleja
4,Jeff
4,Jeff
4,Jack
4,Frey
4,Bark
4,Cart
4,Ben
4,Aarry
4,Corge
4,Natris
4,Chuce
4,Roby
4,Andank
4,Charc
4,Eug
4,Dan
4,Brade
4,Gardon
4,Scott
4,Tobby
4,Gordo
4,Ruben
4,Cordony
4,Hen
4,Jeff
4,Joss
4,Ted
4,Russ
4,Ted
4,Tom
4,Joel
4,Robby
4,Joe
4,Eugerry
4,Nathaun
4,Benry
4,Lary
4,Jim
4,Tom
4,Shan
4,Barry
4,Aley
4,Bruce
4,Ran
4,Adandy
4,Hart
4,Bran
4,Briandy
4,Hardon
4,Derry
4,Donat
4,Stuanda
4,Adren
4,Pett
4,Art
4,Scot
4,Andron
4,Dan
4,Den
4,Stuan
4,Jack
4,Justore
4,Henjame
4,Carlex
4,Anthewa
4,Joel
4,Mat
4,And
4,Pathael
4,Dart
4,Adroy
4,Hen
4,Rodd
4,Ted
4,Thon
4,Brey
4,Ted
4,Ric
4,Marc
4,Edwarry
4,Rick
4,Patharc
4,Maroy
4,Justoph
4,Brey
4,Benjan
4,Steremy
4,Vicarry
4,Den
4,Sterry
4,Dave
4,Eris
4,Cran
4,Coretth
4,Jeffrey
4,Bris
4,Corge
4,Geordo
4,Alejam
4,Walter
4,Carley
5,Barbarossa Brothers
5,Bartolomeo
5,Benito de Soto
5,Black Bart
5,Black Beard
5,Black Bellamy
5,Black Caesar
5,Buccaneers Servant
5,Calico Jack
5,Captain Benjamin Hornigold
5,Captain Blood
5,Captain Bully Hayes
5,Captain Charles Vane
5,Captain Christopher Mings
5,Captain Clegg
5,Captain Edward England
5,Captain Enrique Brower
5,Captain George Booth
5,Captain George Lowther
5,Captain Hector Barbossa
5,Captain Henry Every
5,Captain Hook
5,Captain Horatio McCallister
5,Captain Jack Dancer
5,Captain Jack Rackam
5,Captain Jack Sparrow
5,Captain Jackman
5,Captain James Kelley
5,Captain Jan de Bouff
5,Captain John Bowen
5,Captain John Calles
5,Captain Kennit
5,Captain Pugwash
5,Captain Thomas Bartholomew Red
5,Captain Walker D. Plank
5,Captains Executioner
5,Cervantes de Leon
5,Gunpowder Gertie
5,Guybrush Threepwood
5,Long John Silver
5,Morgan
5,Murderers Secret
5,Posideons Killer
5,Privateers Greed
5,Privateers Howl
5,Red Rackham
5,Sandokan
5,Seas Cruelty
5,Steve The Pirat
5,The Black Pirate
5,The Bloody Fall
5,The Bloody Sadness
5,The Crimson Pirate
5,The Damnation of the Hangman
5,The Dirty Servant
5,The Disgraceful Knave
5,The Dishonor of the North
5,The Fear of the Serpent
5,The Foul Corsair
5,The Horrible Buccaneer of the East
5,The Horrid Slave
5,The Howl of the Manta
5,The Howl of the Wolf
5,The Insanity of Atlantis
5,The Pirates of Dark Water
5,The Pirates of Penzance
5,The Poison Lightning
5,The Rage of the Shark
5,The Sea Captain
5,The Vile Executioner
6,Amulus
6,Amus
6,Bellora
6,Cerpine
6,Certumnus
6,Chariter
6,Cupine
6,Cupithras
6,Cupities
6,Decundus
6,Discorae
6,Discoras
6,Fora
6,Forae
6,Fortuno
6,Furiter
6,Furn
6,Horas
6,Hortuno
6,Horturn
6,Lariter
6,Larities
6,Lucimus
6,Mamillus
6,Mares
6,Merva
6,Mora
6,Moras
6,Mortumnus
6,Nepturn
6,Numercus
6,Numertius
6,Numus
6,Secimus
6,Secius
6,Septius
6,Serius
6,Tercus
6,Tertimus
6,Tibertius
6,Tibervius
6,Viberius
6,Vibertius
